post_id,posttypeid,post_creationdate,post_score,post_viewcount,post_body,post_title,post_tags,post_body_accepted,post_score_accepted
4672,1,2017-09-29T16:57:09.640,2,251.0,"<p>What is a good tool to use to design a back plate for a Ring Doorbell?  The shape will essentially be a wedge shape, tilting the doorbell to the side and down a bit.  I'll need to iterate over a few prints, so want to be able to tweak it as I go.</p>

<p>I've found TinkerCAD doesn't let me adjust shape sizes, stretching one axis but not the other.</p>
",Designing back plate for Ring Doorbell,<3d-design>,,
4681,1,2017-10-01T01:36:14.353,3,1877.0,"<p>I am new to Fusion 360 and I think I'm going straight to something complicated. Is there a way to make a nose cone for a model rocket? What tools would one you to accomplish this?</p>
",Make a nose cone in Fusion 360,<3d-design>,"<p>If you have a specific shape in mind and can create a sketch to represent that shape, you are halfway to your goal.</p>

<p>The concept is simple. Create a single line sketch that would represent the desired curve, starting from, in this example, the nose of the cone and traveling to the base. Create only one-half of the nose cone curve and maintain a ""standard"" axis reference, say, using the Y-axis as the rotation point.</p>

<p>The process is called <a href=""http://help.autodesk.com/view/fusion360/ENU/?guid=GUID-5C62F370-7AB4-4DFD-BE61-F8830F30A6D7"" rel=""noreferrer"">revolve. Fusion 360</a> supports this action directly.</p>

<pre><code>In the Sculpt workspace, choose Create Revolve.
Select the profile to revolve.
In the Revolve dialog:
    Click Axis and then select the axis to revolve around.
    Choose Full or Angle to specify whether the revolution is full or to a specific angle.
    For Direction choose One Side, Two Side or Symmetrical.
    For Symmetry, choose None or Circular.
</code></pre>

<p>The above text is taken directly from the link. The specific web site also includes a Flash video of the steps involved.</p>

<p>If thickness is required for your creation, consider to draw the sketch from the nose to the base, then use Offset or hand sketch in a parallel line that returns to the nose. Ensure the base segment is joined and that the nose segments are open and are aligned to the Y-axis.</p>

<p>As the sketch is revolved, the nose sections will ""close"" while the base creates the closure necessary to make a solid that is hollow within and open at the bottom.</p>

<p>Use The Google or your preferred search engine with the terms ""Fusion 360 Revolve"" to find many tutorials and videos with the same information presented in various ways.</p>
",4.0
4764,1,2017-10-18T22:13:55.230,4,3514.0,"<p>Currently, 3D Builder is telling me ""one or more objects are invalidly defined. Click here to repair."" What is this and what does it mean? When I click it, it totally messes up my model (I can't tell what it even did due to the orthogonal camera). Model stats: </p>

<ul>
<li>Made with Sketchup</li>
<li>Used STL Exporter to export it</li>
<li>Last I knew what the repairing did to it was to remove my sinks and reduced them to holes in the floor</li>
<li>I used ASCII encoding for my STL (I tried using Binary, but it didn't help)</li>
<li>I tried subdividing it but it didn't help.</li>
</ul>

<p>Screenshots:</p>

<p>This is a picture of the model before repairing:
<a href=""https://www.mediafire.com/convkey/173c/2026o54i3pm7h1szg.jpg"" rel=""noreferrer""><img src=""https://www.mediafire.com/convkey/173c/2026o54i3pm7h1szg.jpg"" alt=""This is a picture of the model before repairing""></a></p>

<p>This is a picture of the model after repairing:
<a href=""https://www.mediafire.com/convkey/cd41/uh5e97ak6j79zoyzg.jpg"" rel=""noreferrer""><img src=""https://www.mediafire.com/convkey/cd41/uh5e97ak6j79zoyzg.jpg"" alt=""This is a picture of the model after repairing""></a></p>

<p>(Just in case you wonder. I actually <strong>have</strong> to use STL for this project)</p>
","3D Builder is Saying ""One or more objects is invalidly defined""",<3d-design>,"<p>How thick are those walls? 3D printers cannot print zero-width surfaces (and slicers cannot slice them). 3D Builder has tried to make your model printable, but obviously not in the way that you might have hoped for. You need to go back to Sketchup (or some other CAD package) and give the walls a definite thickness (and one big enough for a 3D printer to handle).</p>
",3.0
5639,1,2018-03-16T09:25:15.337,1,1851.0,"<p>I have an STL file that I want to add a tribal tattoo to with the end goal of getting it printed in colour sandstone from Shapeways, or in full colour on an Mcor Arke at some point, but I'm not really sure where to go. </p>

<p>I've looked at Microsoft Paint 3D. It's ok, but I cannot get the paint job symmetric. It outputs the .3mf format which the Arke will eventually handle with their Orange software, but it won't export into anything Shapeways will accept.</p>

<p>I've looked at UV unwrapping in Blender, but it seems I have to create the image in another graphics program and then import it... but I can't really work out where the images will be applied to the object, and then when I'm done it seems I cannot export the bits I'm expecting. On the plus side I have the mirror function so I can just paint one side and it's symmetrical.</p>

<p>I've looked briefly at Maya and 3Ds Max, but they are eyewateringly expensive, way out of my league.</p>

<p>Blender with some form of layers for the image might be really useful so I can make the tattoo in bits and then apply them to parts. I've kind of seen how you can split the model into panels but my brain is struggling to get round this as it's really quite hit and miss... and exporting seems to be a problem, although DAE and the texture will go to Shapeways, assuming the DAE has the texture layout embedded. FBX seems to go into Paint 3D and then I can export it to 3MF for the Arke.</p>

<p>Has anyone got any helping pointers for this confused noob?</p>

<p>Thanks</p>
",Painting an STL file,<3d-design>,"<p>It is indeed more related to the <a href=""https://blender.stackexchange.com"">blender forum </a> than the 3d printing one. </p>

<p>You can start by looking at <a href=""https://blender.stackexchange.com/questions/65853/can-i-paint-on-my-objects"">this post</a> from blender.stackexchange.com which explain how to unwrap and paint on a 3d object. You can also paint the texture on a 2d software like <a href=""https://www.gimp.org/"" rel=""nofollow noreferrer"">Gimp</a> and then put it in the UV Image editor of Blender. Then you should be able to export your project (with the texture) in a suitable format for 3d print.</p>
",0.0
5935,1,2018-05-07T18:57:16.750,7,6157.0,"<p>I want to know how to make a mold of a 3D design in .stl format.</p>

<p>Suppose I have a 3D partin .stl format (for e.g. a cylinder) and I want to make/design a mold for this object (i.e. the structure through which I could make the cylinder). Is there any way to do so? Are there any tools to do so?</p>

<p>My requirement is as follows: I have an .stl file of a design and need to develop the CAD files for its mold. I will then need to 3D print these molds. I would require to add a hole to pour in liquid (resin based) raw material which hardens with time. </p>
",Generating mold from stl file of the 3D drawing of the object,<3d-design>,,
6413,1,2018-07-16T22:56:30.507,3,275.0,"<p>Scenario:  I'm cruising <a href=""https://www.thingiverse.com/"" rel=""nofollow noreferrer"">Thingiverse</a>, and I find the awesomest thing.  I NEED THIS IN MY LIFE.  I download it, print it, and for whatever reason, it doesn't work quite right.  OK, no big deal, I'll just download the source because the maker was so kind, modify it ever so slightly, and I will have the most awesomest thing evar!</p>

<p>Several hours later, I realized that I could have designed it from scratch in a software that is way more user friendly, deterministic, simpler, etc.</p>

<p>And then I <strong>do</strong> redesign it.  From scratch.  Maybe taking a measurement or two from the thing, or something related to the thing.  And I refine it, and it turns out better than the original was.</p>

<p>Did I make a new thing?  Did I only draw inspiration from the previous thing?  Did I make a derivative work?  Using Thingiverse's terminology, did I remix it?</p>

<p>I'm looking for some canonical guidelines to refer to for the US.  Thingiverse can be an example, but god answers should not be limited to Thingiverse, nor my specific example.</p>

<p>I ran into this issue while trying to print out a case for a Raspberry Pi Zero.  I'm not done redesigning it, but I've been wondering how I could share it on Thingiverse, and if any restrictions from the original model's licensing might affect me when I post my thing.</p>
","Where is the line between ""inspiration"" and copy and derivative?",<3d-design>,,
6911,1,2018-09-14T12:04:07.417,2,46.0,"<p>I am trying to make a controller(Who doesn't want that?) for PC. Just before starting the build I wondered if it would be hard to 3D print to scale of my board. So I was stuck in a paradox... 3D print first or PCB board design first?</p>
<hr />
<h3>Cons: PCB design first</h3>
<ol>
<li>Building to scale is difficult</li>
<li>Parts may not line up</li>
</ol>
<h3>Cons: 3D print first</h3>
<ol>
<li>Eagle design needs precise measurements</li>
<li>PCB may not fit correctly</li>
</ol>
<p>Which is better to do first?</p>
",3d print first or board design?,<3d-design>,,
7191,1,2018-10-16T14:07:10.670,3,496.0,"<p>I am interested in 3d printing from aluminum valve cover for car <a href=""https://www.eeuroparts.com/Parts/59071/Engine-Valve-Cover-Front-V6-4623740/"" rel=""nofollow noreferrer"">SAAB valve cover</a></p>

<p>I am thinking of creating 3d scan and the placing order with i.materialize or similar online services. </p>

<p>I am curios if this is feasible at all, since  I am interested in 3d printing functional part not just a souvenir. Also since 3d part does not have smooth surface, will sand blasting help without affecting dimensions?</p>

<p>Also what would be an approximate cost of 3d scanning and printing?</p>

<p>I really do not know where to start and would appreciate any directions. </p>
",3d print aluminum valve cover for car,<3d-design>,"<p>This is a very large part. My estimate for the cost would be a few thousand to get this printed in metal, if not tens of thousands (assuming it even fits the maximum build volume of the printer, which is only 440mm on its longest axis).</p>

<p>3D scanning also isn't a very reliable way to reproduce parts, especially for something mechanical that needs to be precise. You can not just scan something and then print it like making a photocopy. A lot of manual design and reverse engineering work would be involved.</p>
",4.0
8172,1,2019-02-05T18:18:00.183,3,415.0,"<p>I'm designing a box and lid that will be FDM-printed. The lid push-fits onto the box. <a href=""https://3dprinting.stackexchange.com/q/6576/13100"">What kinds of gaps/tolerances should I use when designing pieces that fit together?</a> has advice for designing the clearance between the lid and the box. Assume I've already settled that question and I have a good clearance so my lid slides on and off freely.</p>

<p>Now I'd like to add a lip-and-groove feature to my design to hold it shut, with a lip on the lid that clips into a groove in the box when the lid is fully closed - like a cantilever fit, but easy to open, and directly on the mating walls.</p>

<p>How deep should I make the lip and how tall? Does it depend on what plastic I'm printing in? Does it depend on the wall thickness and the geometric rigidity of the part?</p>
",How do I decide what size my push-fit feature should be?,<3d-design>,,
10246,1,2019-06-12T18:23:22.583,0,19.0,"<p>Does anybody know anyone from the R3 team or have any insights  into their scalability and reliability claims?  </p>

<p>The format and potential cost savings are appealing...</p>

<p>We are looking for an industrial scale 3D printing solution for the connectors that make up our TWIND Power Exoblades and R3 looks like a cool startup, on their web page at least </p>

<p><a href=""https://r3printing.com/"" rel=""nofollow noreferrer"">https://r3printing.com/</a></p>

<p><a href=""https://discordapp.com/channels/532618939486699520/532622198133882880"" rel=""nofollow noreferrer"">https://discordapp.com/channels/532618939486699520/532622198133882880</a></p>

<p><a href=""https://discord.gg/JFxAXzd"" rel=""nofollow noreferrer"">https://discord.gg/JFxAXzd</a></p>

<p>r2</p>
",R3 Insights into industrial scale claims,<3d-design>,,
12206,1,2020-03-19T14:20:28.220,0,100.0,"<p>Have people been using 3D printing to genuinely create a number of needed objects in their homes, and if so, what? Or is 3D printing better for special niche interests like art projects, home engineering projects, etc?</p>
",Is 3D printing useful for making everyday objects or is it more for special hobbies?,<3d-design>,,
16106,1,2021-04-16T12:26:27.173,1,24.0,"<p>Where do I go for deeper knowledge about 3D printing functional parts?</p>
<p>I want to up my game a bit and design some more functional parts. In particular, I want to do more with boxes, organizers, and moving systems.</p>
<p>For instance, I've found some <a href=""https://www.youtube.com/watch?v=iSBsBTMsGTk"" rel=""nofollow noreferrer"">YouTube videos showing hinge design</a>, but I want more. I want more details on WHY they chose the pin to be 1.5 mm diameter, etc.  I want design options (can the hinge be somewhere other than halfway between top and bottom).</p>
<p>I'd also like to know how to do enclosures that snap together (same problem: YouTube shows me one or two designs, not much detail on why they are designed that way or how to change them if they snap off).</p>
<p>I want box tops that can stay on. How do I make clasps? Sliding lids? Hinges with stops? Snaps?</p>
<p>I haven't even started to mention my desires to learn about levers/gears/etc.</p>
<p>Can anyone recommend a good book? Or a course? Or a really good YouTuber?</p>
",Source of design advice for modeling functional parts,<3d-design>,,
16168,1,2021-04-23T07:34:29.187,0,88.0,"<p>I am creating a bottlecap-like design. The design is sealed by rotating the lid. I am adding a chemical to it for an experiment. I would like the inside of the design to have no air circulating to it through the lid tiny spaces.</p>
<p>My design:</p>
<p><a href=""https://i.stack.imgur.com/2Xc1Q.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/2Xc1Q.png"" alt=""enter image description here"" /></a></p>
<p>Are there any simple solutions I can implement out there? Design-wise, material-wise, or maybe an extra piece?</p>
",How to create an air-free design?,<3d-design>,"<blockquote>
<p>Are there any simple solutions I can implement out there?</p>
</blockquote>
<p>A gasket made of rubber or other elastic or deformable material is probably the best option. Printing one or both of the parts using a deformable material like TPU might also work. Finally, if you don't need to open the unit during the experiment, you could use a sealant like silicone caulk might make sense.</p>
",2.0
16467,1,2021-06-07T13:15:45.213,4,122.0,"<p>With the increasing price of lumber and construction materials in the U.S., 3D-printed houses become a more viable way of building houses.  Designing the foundations of mini-houses isn't difficult.  However the foundation of a full-size house is different; the larger the more difficult.  The one piece nature of a 3D-printed house makes it almost impossible to repair if the foundation shifts.  Foundation repair is the largest home maintenance cost of existing houses.  Thus, the designs of most existing house foundations are not adequate.</p>
<p>Usually the form for the foundation is printed, rebar is placed in the form, and the foundation poured.  Piers seem to be a most.  While shims can be added or altered on piers with pier and beam, unless the beams hold the house ridge (minimum flexing), this doesn't appear to be an option.  What are adequate designs for 3D printed houses?</p>
<p>Family dwellings in the U.S. usually run from 1,100 to 3000 sq.ft. (aprox. 100 to 280 sq.meters).  More common is 1500 to 2000 sq.ft. (aprox. 140 to 190 sq.meters).  Ceilings are at least 8 ft. (2.44 meters) high.</p>
<p>We can speculate, but a good answer would reference actual construction.  Some speculation:</p>
<ol>
<li><p>Print individual wall panels on a bed flat on the ground similar to how warehouses are constructed out of wall panels.  Thus, eliminate the one piece.</p>
</li>
<li><p>One could make concrete pier and beams in a grid pattern within the slap.  The beams would need to be ridged enough to keep the house from flexing.</p>
</li>
<li><p>Structures built as transportable units would survive a shifting foundation and thus be reparable.</p>
</li>
</ol>
<p>China 3D-prints apartments.  Their techniques may give insight into how to design house foundations for 3D printing.</p>
<p>A 380 sq. meters (4000 sq.ft.) building is being printed in Germany, but the webpage gives no description of the foundation: <a href=""https://www.designboom.com/architecture/first-3d-printed-apartment-building-germany-construction-peri-cobod-11-24-2020/"" rel=""nofollow noreferrer"">https://www.designboom.com/architecture/first-3d-printed-apartment-building-germany-construction-peri-cobod-11-24-2020/</a></p>
<p>A huge foundation issue is clay soil in a climate that has both wet and dry seasons.</p>
<p>P.S. The wise customer will want this answered before purchasing.  The construction company would want this answered to prevent a class action lawsuit.  The industry would want this answered to avoid a setback in consumer confidence.</p>
",What foundation designs are adequate for a 3D-printed one-floor building larger than 200 square meters?,<3d-design>,,
16526,1,2021-06-14T16:48:27.027,1,144.0,"<p>Are the following statements still true, or are they now out of date?</p>
<blockquote>
<p>[3D printed architecture] The problem is this: No one has been able to successfully take the leap from printing a fancy art pavilion to printing a functional building, and it’s still not clear if the technology is going to save the world or be another decorative footnote of architectural history.</p>
</blockquote>
<p>WinSun</p>
<blockquote>
<p>For whatever reason, the only printed buildings that look remotely habitable have been built by Chinese companies. But just because they look habitable doesn’t mean that they are. No one lives in these houses, and when you get close enough, they don’t really look like the kind of place you’d want to live, unless you have a thing for creepy-cave chic.
(Both from <a href=""https://architizer.com/blog/practice/details/3d-printed-buildings-future-or-gimmick/"" rel=""nofollow noreferrer"">https://architizer.com/blog/practice/details/3d-printed-buildings-future-or-gimmick/</a>)</p>
</blockquote>
<p>I'm not wanting to argue about the architectural concern for appearance.  As an engineer my concern is with structural integrity and reliability.  However, are people living in 3D houses?  That is the common concern.</p>
",Is there anyone now permanently living in 3D-printed houses or buildings?,<3d-design>,,
18845,1,2022-02-02T14:40:15.290,1,51.0,"<p>Probably barely on-topic, but I'm wondering if there's any way to control a 2D inkjet/laser printer similar to 3D printer. Specifically:</p>
<ul>
<li>Shifting the XY axis by a certain amount</li>
<li>Controlling the paper feeder by small increments</li>
<li>Dispelling ink at defined amounts</li>
</ul>
<p>2D printers have a very high resolution and can be useful for some things, which is why I'm asking.</p>
",Control a 2D printer like a 3D printer,<2d>,,
18960,1,2022-02-20T22:28:43.913,2,149.0,"<p>I want to use magnets to hold the lid of a box down tight enough to keep it relatively airtight (along with a rubber seal etc.), but I am not sure what strength of magnet to use, that will still allow it to be opened without causing damage either by having to be pried open or by crushing the print layers. I cannot seem to find any guide to how magnets are used for 3d printing at various strengths and I cannot afford to buy too many types that I am not then going to use.</p>
<p>Any help that you can provide will be greatly appreciated.</p>
",How Do I Determine The Appropriate Magnet Strength For A Tight Seal On A Box,<3d-design>,"<p>You can vary the “strength” of the magnet by making a membrane of 3D printed plastic in between the magnets. The strength of the attraction is something like a logarithmic relationship to distance- small changes in thickness of material in between the magnets have a large effect on how strong they stick to each other. You could dial in your print by buying strong rare earth magnets and experimenting with attenuating the strength with the membrane. Could even use sheets of paper to get the right feel, then measure the thickness of the stack.</p>
<p>If using an fdm printer, it could be helpful to insert the magnets with a pause in the printing, and print over the top, if there isn’t a good way to otherwise capture them.</p>
",3.0
20265,1,2022-11-28T21:23:04.737,2,38.0,"<p>I have a height-adjustable table, but the height cannot be adjusted as a gear in the motor has worn out cogs and it will not spin. The motor is functional so the only thing I need is to somehow get a that particular part. I have tried searching for the motor itself on eBay, and I found one, but it would cost more than the table did and I dont want to do that unless I know there is no other option.</p>
<p>I am inserting some images of the part and the engine</p>
<p><a href=""https://i.stack.imgur.com/KcpgU.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/KcpgU.jpg"" alt=""enter image description here"" /></a></p>
<p><a href=""https://i.stack.imgur.com/4Xhrz.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/4Xhrz.jpg"" alt=""enter image description here"" /></a></p>
<p><a href=""https://i.stack.imgur.com/gkHGk.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gkHGk.jpg"" alt=""enter image description here"" /></a></p>
<p>What I am searching/asking for, is some kind of database where I might find the 3D design or something like that. I have been trying to learn AutoCAD or a similar design tool, but for a beginner level this seems too complicated.</p>
",3D printing a part without experience in 3D design,<3d-design>,,
20483,1,2023-01-20T22:26:56.053,0,104.0,"<p>I'm building a product which requires a dowel pin inserted into a plastic piece. I'm planning to 3D print the plastic piece with nylon (must be nylon for biocompatibility), but the tolerances won't be sufficient to ensure a consistent press-fit for the pin. To get around this, I plan to undersize the hole, and then ream it out with a reamer on the drill press. There will be 1000 pieces on this run. Any flaws you can see with this design?</p>
",Inserting steel dowel pin into hole with interference fit,<3d-design>,"<p>It is not possible to insert a steel dowel into a hole of a plastic workpiece with a press fit: at least not for long. Tremendous force is exerted on the plastic by the steel, and the plastic will soon begin to deform in a process called cold flow or creep.</p>
",1.0
20570,1,2023-02-13T01:01:40.950,0,52.0,"<p>I am making homebrew electronic items and I'm using this OLED, a 0.96&quot; SSD1306 Module; very common in the Arduino world:</p>
<p><a href=""https://i.stack.imgur.com/3pj11.png"" rel=""nofollow noreferrer"" title=""Photo of OLED screen""><img src=""https://i.stack.imgur.com/3pj11.png"" alt=""Photo of OLED screen"" title=""Photo of OLED screen"" /></a></p>
<p>If someone were making a commercial device with this and designing a case, how would they mount this? We obviously see the 4 screw holes at the corners, but if you looked at this device from the side, you'll notice the glass is only about 1.2 mm proud of the PCB. In addition, if you solder headers to the 4 terminals, which is the common use, the end of the headers are actually flush with the glass.</p>
<p>Should the screws be coming through the case from the outside, through the PCB holes, with a nut on the other side? Would the glass normally be covered with acrylic rather than flush with the outside of the case?</p>
<p>So what's typical in this situation? This is a 3D-printed enclosure, so I'm also limited by that aspect of the design.</p>
",How would this OLED be mounted if in a commercial device?,<3d-design>,,
